Epoch 1: Train Loss=43.7453, Train Acc=0.4907, Val Acc=0.5893
Epoch 2: Train Loss=29.9382, Train Acc=0.6213, Val Acc=0.7054
Epoch 3: Train Loss=21.7685, Train Acc=0.7481, Val Acc=0.7500
Epoch 4: Train Loss=17.0091, Train Acc=0.8228, Val Acc=0.7768
Epoch 5: Train Loss=13.5168, Train Acc=0.8731, Val Acc=0.7768
Epoch 6: Train Loss=11.3148, Train Acc=0.8806, Val Acc=0.8036
Epoch 7: Train Loss=9.6140, Train Acc=0.9198, Val Acc=0.8214
Epoch 8: Train Loss=7.5912, Train Acc=0.9254, Val Acc=0.7768
Epoch 9: Train Loss=6.0445, Train Acc=0.9422, Val Acc=0.8393
Epoch 10: Train Loss=5.2117, Train Acc=0.9515, Val Acc=0.8036
Epoch 11: Train Loss=4.9844, Train Acc=0.9552, Val Acc=0.8214
Epoch 12: Train Loss=3.6646, Train Acc=0.9757, Val Acc=0.8036
Epoch 13: Train Loss=3.0809, Train Acc=0.9795, Val Acc=0.8482
Epoch 14: Train Loss=2.8052, Train Acc=0.9851, Val Acc=0.8214
Epoch 15: Train Loss=2.3789, Train Acc=0.9832, Val Acc=0.8304
Epoch 16: Train Loss=2.1360, Train Acc=0.9851, Val Acc=0.8214
Epoch 17: Train Loss=1.9515, Train Acc=0.9851, Val Acc=0.8214
Epoch 18: Train Loss=1.5511, Train Acc=0.9888, Val Acc=0.8036
Epoch 19: Train Loss=1.6647, Train Acc=0.9907, Val Acc=0.8304
Epoch 20: Train Loss=1.0502, Train Acc=1.0000, Val Acc=0.8393
