Epoch 1: Train Loss=43.8191, Train Acc=0.4030, Val Acc=0.5179
Epoch 2: Train Loss=37.5808, Train Acc=0.4608, Val Acc=0.5179
Epoch 3: Train Loss=33.9220, Train Acc=0.5261, Val Acc=0.5357
Epoch 4: Train Loss=30.3862, Train Acc=0.6045, Val Acc=0.4911
Epoch 5: Train Loss=28.4331, Train Acc=0.6231, Val Acc=0.5268
Epoch 6: Train Loss=26.1183, Train Acc=0.6772, Val Acc=0.5982
Epoch 7: Train Loss=25.9398, Train Acc=0.6810, Val Acc=0.5714
Epoch 8: Train Loss=22.9781, Train Acc=0.7090, Val Acc=0.5625
Epoch 9: Train Loss=22.0737, Train Acc=0.7239, Val Acc=0.5893
Epoch 10: Train Loss=19.8394, Train Acc=0.7556, Val Acc=0.6250
Epoch 11: Train Loss=18.5852, Train Acc=0.7817, Val Acc=0.6071
Epoch 12: Train Loss=17.4837, Train Acc=0.7910, Val Acc=0.5804
Epoch 13: Train Loss=17.3754, Train Acc=0.7966, Val Acc=0.6250
Epoch 14: Train Loss=15.9739, Train Acc=0.8134, Val Acc=0.6696
Epoch 15: Train Loss=13.9224, Train Acc=0.8358, Val Acc=0.6339
Epoch 16: Train Loss=13.9875, Train Acc=0.8451, Val Acc=0.6250
Epoch 17: Train Loss=12.8595, Train Acc=0.8414, Val Acc=0.5982
Epoch 18: Train Loss=13.2431, Train Acc=0.8433, Val Acc=0.5982
Epoch 19: Train Loss=11.2064, Train Acc=0.8694, Val Acc=0.6250
Epoch 20: Train Loss=9.4445, Train Acc=0.8993, Val Acc=0.6429
Epoch 21: Train Loss=8.8756, Train Acc=0.8993, Val Acc=0.6339
