Epoch 1: Train Loss=57.4582, Train Acc=0.4290, Val Acc=0.5392
Epoch 2: Train Loss=47.5984, Train Acc=0.5753, Val Acc=0.6961
Epoch 3: Train Loss=41.7903, Train Acc=0.6051, Val Acc=0.6127
Epoch 4: Train Loss=37.0883, Train Acc=0.6705, Val Acc=0.6814
Epoch 5: Train Loss=33.7598, Train Acc=0.6960, Val Acc=0.6863
Epoch 6: Train Loss=31.6350, Train Acc=0.7131, Val Acc=0.7010
Epoch 7: Train Loss=29.7542, Train Acc=0.7315, Val Acc=0.7402
Epoch 8: Train Loss=27.8257, Train Acc=0.7543, Val Acc=0.7696
Epoch 9: Train Loss=26.8894, Train Acc=0.7713, Val Acc=0.7843
Epoch 10: Train Loss=25.8885, Train Acc=0.7841, Val Acc=0.7794
Epoch 11: Train Loss=23.6997, Train Acc=0.7983, Val Acc=0.8382
Epoch 12: Train Loss=23.0769, Train Acc=0.8026, Val Acc=0.8333
Epoch 13: Train Loss=20.9954, Train Acc=0.8224, Val Acc=0.8431
Epoch 14: Train Loss=21.2395, Train Acc=0.8324, Val Acc=0.8529
Epoch 15: Train Loss=20.3777, Train Acc=0.8253, Val Acc=0.8529
Epoch 16: Train Loss=18.9886, Train Acc=0.8480, Val Acc=0.8775
Epoch 17: Train Loss=17.8546, Train Acc=0.8509, Val Acc=0.8725
Epoch 18: Train Loss=17.3845, Train Acc=0.8736, Val Acc=0.8824
Epoch 19: Train Loss=15.8557, Train Acc=0.8906, Val Acc=0.8922
Epoch 20: Train Loss=16.3355, Train Acc=0.8778, Val Acc=0.8873
Epoch 21: Train Loss=15.1729, Train Acc=0.8963, Val Acc=0.8971
Epoch 22: Train Loss=14.3140, Train Acc=0.9034, Val Acc=0.8775
Epoch 23: Train Loss=14.2012, Train Acc=0.8878, Val Acc=0.9069
Epoch 24: Train Loss=13.3789, Train Acc=0.8963, Val Acc=0.9069
Epoch 25: Train Loss=13.2332, Train Acc=0.9048, Val Acc=0.8971
Epoch 26: Train Loss=12.6751, Train Acc=0.9105, Val Acc=0.9167
Epoch 27: Train Loss=12.3587, Train Acc=0.9077, Val Acc=0.9314
Epoch 28: Train Loss=11.5539, Train Acc=0.9318, Val Acc=0.9314
Epoch 29: Train Loss=11.1945, Train Acc=0.9219, Val Acc=0.9461
Epoch 30: Train Loss=10.8855, Train Acc=0.9205, Val Acc=0.9020
