Epoch 1: Train Loss=58.1919, Train Acc=0.4392, Val Acc=0.6473
Epoch 2: Train Loss=47.7203, Train Acc=0.6338, Val Acc=0.7343
Epoch 3: Train Loss=38.7307, Train Acc=0.6953, Val Acc=0.7295
Epoch 4: Train Loss=32.6256, Train Acc=0.7468, Val Acc=0.7536
Epoch 5: Train Loss=28.3637, Train Acc=0.7511, Val Acc=0.8164
Epoch 6: Train Loss=25.7797, Train Acc=0.7911, Val Acc=0.8213
Epoch 7: Train Loss=23.4793, Train Acc=0.8226, Val Acc=0.8551
Epoch 8: Train Loss=20.8959, Train Acc=0.8383, Val Acc=0.8502
Epoch 9: Train Loss=19.0570, Train Acc=0.8541, Val Acc=0.8937
Epoch 10: Train Loss=18.0739, Train Acc=0.8712, Val Acc=0.8986
Epoch 11: Train Loss=16.1263, Train Acc=0.8941, Val Acc=0.9179
Epoch 12: Train Loss=14.7710, Train Acc=0.8984, Val Acc=0.9420
Epoch 13: Train Loss=14.0294, Train Acc=0.8913, Val Acc=0.8986
Epoch 14: Train Loss=12.8899, Train Acc=0.9084, Val Acc=0.9227
Epoch 15: Train Loss=11.5365, Train Acc=0.9285, Val Acc=0.9372
Epoch 16: Train Loss=11.5730, Train Acc=0.9227, Val Acc=0.9179
Epoch 17: Train Loss=11.2230, Train Acc=0.9199, Val Acc=0.9565
Epoch 18: Train Loss=10.3872, Train Acc=0.9328, Val Acc=0.9614
Epoch 19: Train Loss=9.3653, Train Acc=0.9485, Val Acc=0.9662
Epoch 20: Train Loss=8.9589, Train Acc=0.9514, Val Acc=0.9662
Epoch 21: Train Loss=8.8321, Train Acc=0.9385, Val Acc=0.9614
Epoch 22: Train Loss=7.5741, Train Acc=0.9571, Val Acc=0.9662
Epoch 23: Train Loss=7.4299, Train Acc=0.9557, Val Acc=0.9710
Epoch 24: Train Loss=6.7454, Train Acc=0.9571, Val Acc=0.9758
Epoch 25: Train Loss=6.3271, Train Acc=0.9700, Val Acc=0.9710
Epoch 26: Train Loss=5.9827, Train Acc=0.9685, Val Acc=0.9758
Epoch 27: Train Loss=6.1384, Train Acc=0.9700, Val Acc=0.9517
Epoch 28: Train Loss=5.7491, Train Acc=0.9671, Val Acc=0.9807
Epoch 29: Train Loss=5.7965, Train Acc=0.9628, Val Acc=0.9855
Epoch 30: Train Loss=4.7283, Train Acc=0.9814, Val Acc=0.9855
